Training mode: MMD + fisher + EM
Training model...
Epoch [104/200]	Time: 20.63 seconds	Total Loss: 1.623	Classifier Loss: 0.193	Transfer Loss: 0.116	Fisher Loss: 1.304	EM Loss: 0.010	Souce Domain Accuracy: 78.97%    Target Domain Accuracy: 69.27%
Epoch [105/200]	Time: 19.25 seconds	Total Loss: 1.628	Classifier Loss: 0.197	Transfer Loss: 0.117	Fisher Loss: 1.304	EM Loss: 0.010	Souce Domain Accuracy: 77.99%    Target Domain Accuracy: 69.21%
Epoch [106/200]	Time: 19.29 seconds	Total Loss: 1.615	Classifier Loss: 0.187	Transfer Loss: 0.114	Fisher Loss: 1.304	EM Loss: 0.010	Souce Domain Accuracy: 79.10%    Target Domain Accuracy: 70.44%
Epoch [107/200]	Time: 21.16 seconds	Total Loss: 1.626	Classifier Loss: 0.196	Transfer Loss: 0.116	Fisher Loss: 1.304	EM Loss: 0.010	Souce Domain Accuracy: 78.97%    Target Domain Accuracy: 71.29%
Epoch [108/200]	Time: 19.32 seconds	Total Loss: 1.617	Classifier Loss: 0.189	Transfer Loss: 0.115	Fisher Loss: 1.304	EM Loss: 0.010	Souce Domain Accuracy: 76.37%    Target Domain Accuracy: 70.25%
Epoch [109/200]	Time: 19.21 seconds	Total Loss: 1.607	Classifier Loss: 0.179	Transfer Loss: 0.115	Fisher Loss: 1.304	EM Loss: 0.009	Souce Domain Accuracy: 77.60%    Target Domain Accuracy: 70.90%
Epoch [110/200]	Time: 19.19 seconds	Total Loss: 1.603	Classifier Loss: 0.175	Transfer Loss: 0.115	Fisher Loss: 1.304	EM Loss: 0.009	Souce Domain Accuracy: 79.30%    Target Domain Accuracy: 70.57%
Epoch [111/200]	Time: 20.57 seconds	Total Loss: 1.609	Classifier Loss: 0.181	Transfer Loss: 0.114	Fisher Loss: 1.304	EM Loss: 0.009	Souce Domain Accuracy: 76.50%    Target Domain Accuracy: 71.35%
Epoch [112/200]	Time: 19.17 seconds	Total Loss: 1.609	Classifier Loss: 0.182	Transfer Loss: 0.113	Fisher Loss: 1.304	EM Loss: 0.009	Souce Domain Accuracy: 77.02%    Target Domain Accuracy: 69.08%
Epoch [113/200]	Time: 21.94 seconds	Total Loss: 1.605	Classifier Loss: 0.178	Transfer Loss: 0.114	Fisher Loss: 1.304	EM Loss: 0.009	Souce Domain Accuracy: 78.97%    Target Domain Accuracy: 70.51%
Epoch [114/200]	Time: 19.12 seconds	Total Loss: 1.619	Classifier Loss: 0.190	Transfer Loss: 0.116	Fisher Loss: 1.304	EM Loss: 0.009	Souce Domain Accuracy: 78.12%    Target Domain Accuracy: 70.57%
Epoch [115/200]	Time: 19.05 seconds	Total Loss: 1.605	Classifier Loss: 0.177	Transfer Loss: 0.115	Fisher Loss: 1.304	EM Loss: 0.009	Souce Domain Accuracy: 78.39%    Target Domain Accuracy: 71.48%
Epoch [116/200]	Time: 20.32 seconds	Total Loss: 1.607	Classifier Loss: 0.178	Transfer Loss: 0.116	Fisher Loss: 1.304	EM Loss: 0.009	Souce Domain Accuracy: 77.60%    Target Domain Accuracy: 69.99%
Epoch [117/200]	Time: 18.94 seconds	Total Loss: 1.599	Classifier Loss: 0.170	Transfer Loss: 0.116	Fisher Loss: 1.304	EM Loss: 0.009	Souce Domain Accuracy: 77.73%    Target Domain Accuracy: 70.38%
